26/03/24 07:43:23,834 INFO  [@init servlet   ] [FreemarkerConfiguration       ] [system_user@l2Q1@] Finished initialization of "Notification" freemarker configuration
 26/03/24 07:43:32,724 INFO  [@init servlet   ] [NotificationJobProcessorUtils ] [@] Applying notification send delay 60000 (using for cluster notification merge)
 26/03/24 08:42:12,833 INFO  [@tion-analyzer-4] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-5:11-33#11-33:1-1] didn't persist any notification job
 26/03/24 08:43:42,790 INFO  [@sue-analysis-41] [AnalysisDurabilityJob         ] [@] [AD:1711442622789] started, processing PersistentEvent (11-33..11-37]
 26/03/24 08:43:42,881 INFO  [@tion-analyzer-5] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-6:11-34#11-34:1-1] started
 26/03/24 08:43:42,882 INFO  [@tion-analyzer-5] [AnalyzerMonitor               ] [@] [DG_AJ:001-6:11-34#11-34:1-1] started [001-6:analysis in state after change]
 26/03/24 08:43:42,893 INFO  [@tion-analyzer-5] [AnalyzerMonitor               ] [@] [DG_AJ:001-6:11-34#11-34:1-1] skipped [001-6:analysis in state before change]
 26/03/24 08:43:42,893 INFO  [@tion-analyzer-5] [AnalyzerMonitor               ] [@] [DG_AJ:001-6:11-34#11-34:1-1] started [001-6:user mentions analysis]
 26/03/24 08:43:42,893 INFO  [@tion-analyzer-5] [AnalyzerMonitor               ] [@] [DG_AJ:001-6:11-34#11-34:1-1] started [001-6:user reaction analysis]
 26/03/24 08:43:42,894 INFO  [@tion-analyzer-5] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-6:11-34#11-34:1-1] didn't persist any notification job
 26/03/24 08:45:12,796 INFO  [@sue-analysis-42] [AnalysisDurabilityJob         ] [@] [AD:1711442712791] started, processing PersistentEvent (11-34..11-48]
 26/03/24 08:45:12,814 INFO  [@tion-analyzer-6] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-7:11-35#11-37:1-1] started
 26/03/24 08:45:12,814 INFO  [@tion-analyzer-6] [AnalyzerMonitor               ] [@] [DG_AJ:001-7:11-35#11-37:1-1] started [001-7:analysis in state after change]
 26/03/24 08:45:12,836 INFO  [@tion-analyzer-6] [AnalyzerMonitor               ] [@] [DG_AJ:001-7:11-35#11-37:1-1] skipped [001-7:analysis in state before change]
 26/03/24 08:45:12,836 INFO  [@tion-analyzer-6] [AnalyzerMonitor               ] [@] [DG_AJ:001-7:11-35#11-37:1-1] started [001-7:user mentions analysis]
 26/03/24 08:45:12,837 INFO  [@tion-analyzer-6] [AnalyzerMonitor               ] [@] [DG_AJ:001-7:11-35#11-37:1-1] started [001-7:user reaction analysis]
 26/03/24 08:45:12,837 INFO  [@tion-analyzer-6] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-7:11-35#11-37:1-1] didn't persist any notification job
 26/03/24 08:45:12,841 INFO  [@tion-analyzer-6] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-8:11-38#11-38:1-1] started
 26/03/24 08:45:12,841 INFO  [@tion-analyzer-6] [AnalyzerMonitor               ] [@] [DG_AJ:001-8:11-38#11-38:1-1] started [001-8:analysis in state after change]
 26/03/24 08:45:12,850 INFO  [@tion-analyzer-6] [AnalyzerMonitor               ] [@] [DG_AJ:001-8:11-38#11-38:1-1] skipped [001-8:analysis in state before change]
 26/03/24 08:45:12,850 INFO  [@tion-analyzer-6] [AnalyzerMonitor               ] [@] [DG_AJ:001-8:11-38#11-38:1-1] started [001-8:user mentions analysis]
 26/03/24 08:45:12,851 INFO  [@tion-analyzer-6] [AnalyzerMonitor               ] [@] [DG_AJ:001-8:11-38#11-38:1-1] started [001-8:user reaction analysis]
 26/03/24 08:45:12,851 INFO  [@tion-analyzer-6] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-8:11-38#11-38:1-1] didn't persist any notification job
 26/03/24 08:46:42,793 INFO  [@sue-analysis-43] [AnalysisDurabilityJob         ] [@] [AD:1711442802792] started, processing PersistentEvent (11-38..11-52]
 26/03/24 08:46:42,824 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-9:11-39#11-48:1-1] started
 26/03/24 08:46:42,825 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-9:11-39#11-48:1-1] started [001-9:analysis in state after change]
 26/03/24 08:46:42,834 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-9:11-39#11-48:1-1] skipped [001-9:analysis in state before change]
 26/03/24 08:46:42,834 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-9:11-39#11-48:1-1] started [001-9:user mentions analysis]
 26/03/24 08:46:42,835 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-9:11-39#11-48:1-1] started [001-9:user reaction analysis]
 26/03/24 08:46:42,836 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-9:11-39#11-48:1-1] didn't persist any notification job
 26/03/24 08:46:42,839 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-1:11-40#11-49:1-1] started
 26/03/24 08:46:42,839 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-1:11-40#11-49:1-1] started [001-1:analysis in state after change]
 26/03/24 08:46:42,932 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-1:11-40#11-49:1-1] started [001-1:analysis in state before change]
 26/03/24 08:46:42,946 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-1:11-40#11-49:1-1] started [001-1:user mentions analysis]
 26/03/24 08:46:42,946 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-1:11-40#11-49:1-1] started [001-1:user reaction analysis]
 26/03/24 08:46:42,947 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-1:11-40#11-49:1-1] didn't persist any notification job
 26/03/24 08:46:42,950 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-2:11-41#11-41:1-1] started
 26/03/24 08:46:42,950 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-2:11-41#11-41:1-1] started [001-2:analysis in state after change]
 26/03/24 08:46:42,958 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-2:11-41#11-41:1-1] started [001-2:analysis in state before change]
 26/03/24 08:46:42,966 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-2:11-41#11-41:1-1] started [001-2:user mentions analysis]
 26/03/24 08:46:42,966 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-2:11-41#11-41:1-1] started [001-2:user reaction analysis]
 26/03/24 08:46:42,967 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-2:11-41#11-41:1-1] didn't persist any notification job
 26/03/24 08:46:42,969 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-3:11-42#11-42:1-1] started
 26/03/24 08:46:42,970 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-3:11-42#11-42:1-1] started [001-3:analysis in state after change]
 26/03/24 08:46:42,980 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-3:11-42#11-42:1-1] started [001-3:analysis in state before change]
 26/03/24 08:46:42,987 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-3:11-42#11-42:1-1] started [001-3:user mentions analysis]
 26/03/24 08:46:42,988 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-3:11-42#11-42:1-1] started [001-3:user reaction analysis]
 26/03/24 08:46:42,988 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-3:11-42#11-42:1-1] didn't persist any notification job
 26/03/24 08:46:42,991 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-4:11-43#11-52:1-1] started
 26/03/24 08:46:42,992 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-4:11-43#11-52:1-1] started [001-4:analysis in state after change]
 26/03/24 08:46:43,000 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-4:11-43#11-52:1-1] started [001-4:analysis in state before change]
 26/03/24 08:46:43,008 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-4:11-43#11-52:1-1] started [001-4:user mentions analysis]
 26/03/24 08:46:43,009 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-4:11-43#11-52:1-1] started [001-4:user reaction analysis]
 26/03/24 08:46:43,010 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-4:11-43#11-52:1-1] didn't persist any notification job
 26/03/24 08:46:43,013 INFO  [@tion-analyzer-7] [AbstractAnalyzerJob           ] [@] [DG_AJ:001-5:11-44#11-44:1-1] started
 26/03/24 08:46:43,013 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-5:11-44#11-44:1-1] started [001-5:analysis in state after change]
 26/03/24 08:46:43,022 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-5:11-44#11-44:1-1] started [001-5:analysis in state before change]
 26/03/24 08:46:43,029 INFO  [@tion-analyzer-7] [AnalyzerMonitor               ] [@] [DG_AJ:001-5:11-44#11-44:1-1] started [001-5:user mentions analysis]
